N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,100",700,-1.19%,100,"3,468,444","5,969,783",49.64,"9,287,701",9.12,13.92,
2,LG에너지솔루션,"401,000","6,000",+1.52%,500,"938,340","234,000",3.20,"323,439",127.79,10.68,
3,SK하이닉스,"93,300",400,-0.43%,"5,000","679,226","728,002",49.39,"2,359,952",6.41,16.84,
4,삼성바이오로직스,"834,000","5,000",+0.60%,"2,500","593,591","71,174",10.71,"64,580",116.45,8.21,
5,삼성전자우,"52,900","1,300",-2.40%,100,"435,307","822,887",72.18,"620,011",8.30,N/A,
6,NAVER,"233,500","7,000",-2.91%,100,"383,055","164,049",53.46,"599,102",28.39,106.72,
7,현대차,"179,000",0,0.00%,"5,000","382,466","213,668",26.80,"537,013",9.53,6.84,
8,삼성SDI,"528,000","1,000",+0.19%,"5,000","363,077","68,765",42.52,"176,383",26.69,8.45,
9,LG화학,"514,000","8,000",-1.53%,"5,000","362,845","70,592",47.60,"171,371",13.19,18.47,
10,기아,"78,700",700,+0.90%,"5,000","319,021","405,363",36.07,"1,067,241",6.70,14.69,
11,카카오,"70,300","1,000",-1.40%,100,"312,799","444,948",28.88,"1,073,791",12.66,17.10,
12,셀트리온,"187,500","1,500",+0.81%,"1,000","263,940","140,768",20.58,"420,319",52.29,16.04,
13,삼성물산,"114,500","1,500",+1.33%,100,"213,986","186,887",16.40,"273,809",16.29,5.40,
14,POSCO홀딩스,"223,000","7,000",-3.04%,"5,000","194,427","87,187",52.92,"250,642",2.66,13.97,
15,현대모비스,"204,000","3,000",+1.49%,"5,000","192,929","94,573",34.14,"156,126",8.51,6.87,
16,KB금융,"46,100",750,-1.60%,"5,000","190,094","412,352",72.68,"725,116",4.17,9.80,
17,신한지주,"35,600",250,-0.70%,"5,000","182,605","512,934",62.00,"1,019,382",4.50,8.80,
18,SK,"206,500","1,500",-0.72%,200,"153,118","74,149",22.09,"96,922",5.03,10.19,
19,SK이노베이션,"165,000","3,500",-2.08%,"5,000","152,568","92,466",25.32,"339,130",10.49,1.91,
20,LG전자,"90,400",900,-0.99%,"5,000","147,938","163,648",26.91,"649,273",12.97,6.32,
21,카카오뱅크,"30,000","1,200",-3.85%,"5,000","142,885","476,282",12.52,"1,297,714",60.73,4.91,
22,한국전력,"22,100",300,+1.38%,"5,000","141,874","641,964",14.67,"1,007,515",-1.25,-7.99,
23,LG,"76,900","1,400",-1.79%,"5,000","120,964","157,301",36.00,"156,691",4.35,12.36,
24,SK텔레콤,"55,000",0,0.00%,100,"120,358","218,833",47.72,"459,071",8.18,13.63,
25,삼성생명,"59,200",100,-0.17%,500,"118,400","200,000",13.22,"145,815",18.19,4.01,
26,크래프톤,"237,000","2,500",-1.04%,100,"116,301","49,072",29.30,"84,723",19.49,17.86,
27,HMM,"23,550",750,-3.09%,"5,000","115,169","489,039",8.99,"1,933,929",1.21,88.62,
28,두산에너빌리티,"18,150",200,-1.09%,"5,000","114,926","633,202",10.18,"3,463,951",27.21,10.67,
29,SK바이오사이언스,"147,500","1,000",+0.68%,500,"113,256","76,784",3.93,"1,519,063",33.09,38.08,
30,KT&G,"82,000","1,000",+1.23%,"5,000","112,580","137,292",39.99,"308,446",11.63,10.74,
